chime_id,timestamp,app,env,region,severity,title,message,status,ack_by,duration_sec,tags,link
9cf0ec38f3f2,2025-10-16T10:25:05.682054+05:30,kafka-consumer,prod,us-east-1,critical,Service outage,kafka-consumer in prod (us-east-1) reported service outage.,resolved,,71,"env:prod,sev:critical",https://alerts.example.internal/chimes/1078
780d53b8936e,2025-10-15T18:36:32.682054+05:30,scheduler,dev,us-east-1,warning,Increased error rate,scheduler in dev (us-east-1) reported increased error rate.,resolved,tushar,49,errors,https://alerts.example.internal/chimes/1051
69c2ad421070,2025-10-15T17:00:47.682054+05:30,checkout-api,prod,mumbai,critical,Ingress route broken,checkout-api in prod (mumbai) reported ingress route broken.,triggered,,99,"env:prod,sev:critical,ingress",https://alerts.example.internal/chimes/1000
4cd518b3bf09,2025-10-15T12:08:38.682054+05:30,envoy,prod,us-east-1,warning,Disk usage crossing threshold,envoy in prod (us-east-1) reported disk usage crossing threshold.,resolved,ankit,38,env:prod,https://alerts.example.internal/chimes/1052
7538aedb4e31,2025-10-15T05:11:57.682054+05:30,payments,prod,mumbai,critical,Service outage,payments in prod (mumbai) reported service outage.,triggered,,45,"env:prod,sev:critical",https://alerts.example.internal/chimes/1060
16991af0d8a8,2025-10-15T03:26:19.682054+05:30,scheduler,prod,us-east-1,warning,Increased error rate,scheduler in prod (us-east-1) reported increased error rate.,resolved,tushar,215,"env:prod,errors",https://alerts.example.internal/chimes/1020
40f003c5f6b6,2025-10-15T00:18:52.682054+05:30,scheduler,prod,delhi,warning,CPU throttle observed,scheduler in prod (delhi) reported cpu throttle observed.,acknowledged,bhagyashree,39,env:prod,https://alerts.example.internal/chimes/1069
f287e83e4e07,2025-10-14T21:01:46.682054+05:30,kafka-consumer,prod,us-east-1,warning,Increased error rate,kafka-consumer in prod (us-east-1) reported increased error rate.,acknowledged,kushal,30,"env:prod,errors",https://alerts.example.internal/chimes/1037
9c7aec789485,2025-10-14T19:06:25.682054+05:30,envoy,prod,us-east-1,warning,Increased error rate,envoy in prod (us-east-1) reported increased error rate.,triggered,,55,"env:prod,errors",https://alerts.example.internal/chimes/1005
3948ca54393a,2025-10-14T15:15:15.682054+05:30,inventory,prod,us-east-1,warning,Disk usage crossing threshold,inventory in prod (us-east-1) reported disk usage crossing threshold.,resolved,neha,123,env:prod,https://alerts.example.internal/chimes/1007
85cfc7d1d46f,2025-10-14T14:30:57.682054+05:30,envoy,staging,delhi,critical,Kafka consumer lag spike,envoy in staging (delhi) reported kafka consumer lag spike.,triggered,,128,"sev:critical,kafka",https://alerts.example.internal/chimes/1034
